NIK,PK,PERFORMANCE,COMPETENCY,LEARNING POINT,Kerja Ibadah,Apresiasi,Lebih cepat,Aktif bersama
200700326,1.0,1.02,1.09,0.0,0.95,0.98,0.94,0.87
199500085,0.93,0.93,1.02,0.0,0.88,0.86,0.9,0.99
199500048,0.91,0.98,1.05,0.0,0.96,0.99,1.0,1.0
200700297,0.98,1.03,1.13,0.0,0.92,0.89,1.0,0.94
201600670,0.9,1.02,1.02,0.0,0.95,0.98,1.0,0.99
199500049,0.9,1.03,1.03,0.0,0.68,0.73,0.81,0.68
199600129,1.0,0.98,1.14,0.0,0.98,0.94,1.0,1.0
199500059,0.94,0.95,1.07,0.0,0.99,0.96,0.91,0.96
201700733,0.99,1.01,1.14,1.0,0.96,1.0,1.0,1.0
201801023,0.98,1.01,1.07,1.0,1.0,1.0,1.0,1.0
201903269,0.99,0.99,1.06,1.0,1.0,0.94,0.85,0.88
202104089,1.0,1.01,1.09,1.0,1.0,1.0,1.0,1.0
201600660,1.0,1.02,1.04,1.0,0.97,0.97,0.98,0.89
201600647,1.0,1.0,1.02,1.0,0.88,0.78,0.8,0.77
201903571,1.0,1.0,0.99,1.0,0.85,0.78,0.78,0.78
201903198,1.0,0.99,0.94,1.0,0.85,0.83,0.72,0.77
199700087,1.0,1.02,1.01,1.0,0.97,0.92,0.9,0.92
201800932,1.0,1.0,1.03,1.0,0.95,0.78,0.82,0.83
201500608,1.0,0.98,1.0,1.0,0.89,0.77,0.82,0.81
201902913,1.0,1.0,1.0,1.0,0.81,0.78,0.78,0.89
201500613,1.0,1.01,1.16,1.0,0.92,0.98,1.0,1.0
201300534,1.0,1.02,1.15,1.0,1.0,0.99,0.99,1.0
200800369,1.0,1.0,1.11,1.0,1.0,1.0,1.0,1.0
201903147,1.0,1.04,1.18,1.0,1.0,1.0,0.98,1.0
200300191,1.03,1.06,1.06,1.0,0.96,1.0,1.0,0.94
201000366,1.0,1.03,1.01,1.0,1.0,0.99,0.95,1.0
200300192,1.0,1.02,1.0,1.0,1.0,0.99,0.94,0.98
201600655,0.92,0.93,1.08,1.0,0.95,0.96,0.92,0.92
201700849,1.0,1.01,1.05,1.0,0.68,1.0,0.9,0.82
201400561,1.0,1.01,1.07,1.0,0.9,0.88,0.92,0.91
200800340,1.0,1.01,1.02,1.0,0.99,1.0,0.94,0.99
202003810,1.0,1.01,1.05,1.0,0.95,1.0,0.9,0.94
201903381,1.0,0.99,0.98,1.0,0.95,0.99,0.86,0.88
201200410,1.0,1.01,0.98,1.0,0.91,0.81,0.94,0.89
200500231,0.98,0.96,1.02,1.0,0.87,0.76,0.88,0.79
201400568,1.0,1.02,1.04,1.0,0.83,0.98,0.8,1.0
201300524,1.0,0.99,0.94,1.0,0.94,0.97,0.74,0.92
201400588,1.0,1.0,1.07,1.0,0.92,0.99,0.82,1.0
201700738,1.0,1.01,1.0,1.0,0.96,0.94,0.76,0.78
201800885,0.92,0.92,1.1,1.0,0.92,0.91,0.94,0.88
200700298,1.0,0.99,1.05,1.0,0.8,0.79,0.89,0.84
199400044,1.0,1.0,1.03,1.0,0.96,0.9,0.93,0.94
201400562,0.99,0.98,0.99,1.0,0.92,0.81,0.94,0.94
201400560,0.99,1.01,0.98,1.0,0.95,0.87,0.98,0.98
201600681,0.99,1.05,0.98,1.0,0.82,0.88,0.94,0.93
200500235,1.0,1.0,0.97,1.0,0.91,0.94,0.84,0.97
201903170,1.0,0.98,1.05,1.0,0.84,0.92,0.94,0.88
202003997,1.0,0.99,0.94,1.0,0.96,0.94,0.86,0.89
201700700,1.0,1.01,1.12,1.0,0.95,0.94,0.94,1.0
201903053,0.99,1.01,1.07,1.0,0.95,0.92,0.95,1.0
201700741,0.99,1.0,1.06,1.0,0.96,0.99,0.94,1.0
201600732,1.0,1.0,1.07,1.0,0.95,0.99,0.94,0.99
201903266,1.0,0.99,1.07,1.0,0.95,0.94,0.96,1.0
201903572,1.0,1.0,1.08,1.0,0.96,0.94,0.96,1.0
202104129,1.0,0.99,1.0,0.53,0.94,0.92,0.94,0.98
201300499,1.0,1.04,1.07,1.0,0.94,0.89,1.0,0.95
201801110,0.99,1.01,1.08,1.0,0.92,0.99,0.94,0.92
201700743,0.96,0.97,1.07,1.0,0.87,0.92,0.72,0.88
199700121,0.98,0.99,1.05,0.95,1.0,0.98,0.98,0.99
201903029,0.84,0.87,1.09,1.0,0.98,0.98,0.98,1.0
201500618,0.99,1.0,1.1,1.0,1.0,0.99,0.94,0.99
201700992,0.84,0.89,1.16,1.0,1.0,0.99,0.98,1.0
201500634,0.95,0.96,1.01,1.0,0.96,0.99,0.91,0.94
201903024,0.97,0.97,1.02,1.0,1.0,1.0,0.86,1.0
200000161,0.9,0.94,1.13,1.0,0.98,0.91,0.98,0.96
201903540,0.99,0.99,1.1,1.0,0.78,0.85,0.77,0.82
201700702,1.0,1.02,0.97,1.0,0.83,0.94,0.9,0.98
