NO,NIK,BUSINESS_UNIT,JOB_LEVEL,LOCATION,DEPARTMENT,JOB_POSITION,PK,BEHAVIOR,ADDITIONAL POINT,PERFORMANCE,COMPETENCY,LEARNING POINT
1.0,200700326,PT. HADJI KALLA (HOLDING),EXECUTIVE LEADERS,HEAD OFFICE WISMA KALLA LT. 13,DIRECTOR,CHIEF EXECUTIVE OFFICER GO DEVCON,1.002,0.935,0.0,1.02001875,1.0933333333333335,0.0
2.0,199500085,PT. HADJI KALLA (HOLDING),EXECUTIVE LEADERS,HEAD OFFICE WISMA KALLA LT. 13,DIRECTOR,CHIEF FINANCE OFFICER  KALLA OTO,0.93,0.9057291666666668,0.005,0.931359375,1.0155555555555558,0.0
3.0,199500048,PT. HADJI KALLA (HOLDING),EXECUTIVE LEADERS,HEAD OFFICE WISMA KALLA LT. 14,DIRECTOR,CORPORATE FINANCE DIRECTOR,0.906,0.99,0.0,0.98305625,1.0533333333333332,0.0
4.0,200700297,PT. HADJI KALLA (HOLDING),EXECUTIVE LEADERS,HEAD OFFICE WISMA KALLA LT. 13,DIRECTOR,MARKETING & BUSINESS DEVELOPMENT DIRECTOR,0.984,0.938,0.0,1.030740625,1.1333333333333333,0.0
5.0,201600670,PT. HADJI KALLA (HOLDING),EXECUTIVE LEADERS,HEAD OFFICE WISMA KALLA LT. 13,DIRECTOR,PEOPLE & PERFORMANCE DIRECTOR,0.902,0.978,0.0,1.0231249999999998,1.017777777777778,0.0
6.0,199500049,PT. HADJI KALLA (HOLDING),EXECUTIVE LEADERS,HEAD OFFICE WISMA KALLA LT. 14,DIRECTOR,PRESIDENT DIRECTOR,0.903,0.723,0.0,1.032734375,1.0288888888888887,0.0
8.0,199600129,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 14,DIRECTOR,CHIEF CORPORATE SECRETARY & LEGAL OFFICER,0.995,0.982,0.0,0.9799812499999999,1.1377777777777778,0.0
9.0,199500059,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,DIRECTOR,CHIEF FINANCE OFFICER KALLA DEVCON,0.945,0.9625,0.0,0.9476249999999999,1.0666666666666667,0.0
10.0,201700733,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ACCOUNTING CONSOLE DEPARTMENT,PJS. ACCOUNTING CONSOLE DEPARTMENT HEAD,0.991,0.990625,0.015,1.00594375,1.1422222222222222,1.0
11.0,201801023,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ACCOUNTING CONSOLE DEPARTMENT,ACCOUNTING CONSOLE OFFICER,0.984,1.0,0.025,1.0113999999999999,1.0666666666666669,1.0
12.0,201903269,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ACCOUNTING CONSOLE DEPARTMENT,ACCOUNTING CONSOLE OFFICER,0.993,0.9166666666666666,0.01,0.9915499999999999,1.0600000000000003,1.0
13.0,202104089,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 14,ACCOUNTING CONSOLE DEPARTMENT,ACCOUNTING CONSOLE JUNIOR OFFICER,1.0,1.0,0.01,1.01,1.0857142857142859,1.0
14.0,201600660,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE COKRO LT. 2,ASSESSMENT CENTER & COMPETENCY DEPARTMENT,ASSESSMENT CENTER & COMPETENCY DEPARTMENT HEAD,1.0,0.9489583333333332,0.03,1.0223437499999999,1.0444444444444445,1.0
15.0,201600647,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,ASSESSMENT CENTER & COMPETENCY DEPARTMENT,ASSESSMENT CENTER ASSOCIATES,1.0,0.8057291666666667,0.03,1.0008593749999999,1.02,1.0
16.0,201903571,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,ASSESSMENT CENTER & COMPETENCY DEPARTMENT,ASSESSMENT CENTER SENIOR ANALYST,1.0,0.7937500000000001,0.03,0.9990625,0.988888888888889,1.0
17.0,201903198,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,ASSESSMENT CENTER & COMPETENCY DEPARTMENT,ASSESSMENT CENTER SENIOR ANALYST,1.0,0.7994791666666666,0.02,0.989921875,0.9400000000000001,1.0
18.0,199700087,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ASSET MANAGEMENT STANDARDIZATION DEPARTMENT,ASSET MANAGEMENT STANDARDIZATION DEPARTMENT HEAD,1.0,0.9255208333333332,0.03,1.018828125,1.011111111111111,1.0
19.0,201800932,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ASSET MANAGEMENT STANDARDIZATION DEPARTMENT,BUILDING & FACILITIES STANDARDIZATION OFFICER,1.0,0.8421875000000001,0.02,0.996328125,1.031111111111111,1.0
20.0,201500608,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ASSET MANAGEMENT STANDARDIZATION DEPARTMENT,BUILDING & FACILITIES STANDARDIZATION OFFICER,1.0,0.8171875,0.01,0.982578125,1.0022222222222221,1.0
21.0,201902913,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ASSET MANAGEMENT STANDARDIZATION DEPARTMENT,BUILDING & FACILITIES STANDARDIZATION OFFICER,1.0,0.8125,0.025,0.996875,0.9977777777777779,1.0
22.0,201500613,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ASSET MANAGEMENT STANDARDIZATION DEPARTMENT,BUILDING & FACILITIES STANDARDIZATION SENIOR OFFICER,1.0,0.9739583333333331,0.01,1.00609375,1.1622222222222223,1.0
23.0,201300534,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,ASSET MANAGEMENT STANDARDIZATION DEPARTMENT,LANDBANK ASSET MANAGEMENT ASSOCIATES,1.0,0.9958333333333332,0.025,1.024375,1.1488888888888888,1.0
24.0,200800369,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUDGET CONTROL & TAX  DEVCON DEPARTMENT,PJS. BUDGET CONTROL & TAX DEPARTMENT HEAD,0.999,0.9979166666666668,0.0,0.9988374999999999,1.1111111111111112,1.0
25.0,201903147,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUDGET CONTROL & TAX  DEVCON DEPARTMENT,BUDGET CONTROL & TAX SENIOR ANALYST,0.998,0.996875,0.045,1.0428312499999999,1.1777777777777778,1.0
26.0,200300191,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUDGET CONTROL & TAX  OTO DEPARTMENT,BUDGET CONTROL & TAX DEPARTMENT HEAD,1.03,0.9765625,0.035,1.0569843749999999,1.0600000000000003,1.0
27.0,201000366,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUDGET CONTROL & TAX  OTO DEPARTMENT,BUDGET CONTROL SENIOR OFFICER,1.0,0.9875,0.03,1.028125,1.0066666666666668,1.0
28.0,200300192,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUDGET CONTROL & TAX  OTO DEPARTMENT,TAX SENIOR OFFICER,1.0,0.9776041666666668,0.025,1.0216406249999999,1.0044444444444445,1.0
29.0,201600655,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & EVALUATION DEPARTMENT,BUSINESS DEVELOPMENT & EVALUATION DEPARTMENT HEAD,0.923,0.9364583333333334,0.005,0.93001875,1.077777777777778,1.0
30.0,201700849,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,BUSINESS DEVELOPMENT & EVALUATION DEPARTMENT,BUSINESS DEVELOPMENT & EVALUATION OFFICER,1.0,0.8557291666666667,0.035,1.0133593749999998,1.0533333333333335,1.0
